Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,Academic_Stream,Education_Level,Age_Group,Work_Experience_Years,Career_Break,Career_Break_Months,Preferred_Work_Mode,Location_Preference,Family_Support_Score,English_Proficiency,Entrepreneurship_Interest,Risk_Tolerance,Leadership_Readiness,Certifications_Interest,Work_Life_Balance_Priority,Salary_Expectation_Lakh,Industry_Preference,Public_Speaking_Confidence,Conflict_Resolution_Skills,Stress_Management_Skills,Adaptability_Score,Mentoring_Experience,Innovation_Interest,Customer_Focus,Data_Driven_Thinking,Continuous_Learning,Career_Goal_Clarity,Willing_To_Relocate,Prefer_Corporate,Domain_Expertise_Depth,Current_Role_Success,Success_Percentage
Architecture,Entrepreneur,3.9778525370462914,2,1,4,1,0,1,4,3,3,2,3,0,1,0,Interdisciplinary,Bachelors,36-40,10,1,25,Remote,Tier1_City,3,4,0,5,1,1,1,15.54,Manufacturing,1,2,5,5,5,0,4,2,4,1,0,1,4,5,59.43
Art,Psychologist,3.3168519659682723,6,0,4,1,5,1,3,2,2,0,1,4,2,1,Arts,Bachelors,18-24,7,0,0,Flexible,Tier1_City,3,1,0,2,0,1,1,12.44,Manufacturing,4,1,3,4,1,5,4,5,4,4,0,1,4,2,53.66
Engineering,Art Therapist,3.058168834577157,4,2,0,0,2,0,2,2,3,2,0,1,2,1,Science,Bachelors,36-40,13,0,0,Flexible,Any,3,5,5,5,0,4,5,4.61,Education,2,3,5,5,1,5,5,2,2,4,1,0,4,1,52.82
Education,Sound Engineer,2.815417748523134,2,1,0,1,4,1,3,0,0,2,4,3,1,0,Arts,Bachelors,18-24,7,0,0,Flexible,Tier2_City,2,2,5,1,2,2,4,20.39,Manufacturing,4,1,3,4,2,5,5,2,5,1,1,0,3,4,55.85
Marketing,Digital Marketing Specialist,3.250700190924753,2,0,0,0,1,1,4,1,1,4,1,0,2,1,Commerce,Masters,31-35,13,0,0,Hybrid,Tier2_City,5,5,5,3,1,2,1,42.77,Healthcare,4,3,4,4,5,3,4,2,4,5,1,0,1,5,68.48
Computer Science,Physician Assistant,2.78102379912788,3,2,2,0,2,1,0,0,0,4,3,1,2,1,Science,High School,25-30,13,0,0,Remote,Tier2_City,3,5,1,2,4,5,2,6.28,Finance,1,5,5,3,3,5,5,1,5,1,1,0,3,4,49.12
Architecture,Geneticist,3.687908849690964,4,1,1,0,1,1,2,2,0,4,2,0,3,0,Interdisciplinary,Masters,25-30,6,0,0,Office,Tier2_City,5,1,2,3,0,4,2,28.31,Tech,5,1,5,5,5,3,4,5,4,3,1,0,2,1,51.15
Law,Counselor,2.9640773002067817,8,0,3,0,7,1,1,4,1,4,2,3,4,0,Arts,Masters,36-40,6,1,19,Remote,Tier1_City,1,3,1,3,3,5,3,35.66,Manufacturing,3,3,3,4,0,5,1,1,5,5,0,0,2,4,69.44
Business,Cybersecurity Analyst,3.919613939803012,4,0,4,1,2,1,3,2,4,2,0,2,2,1,Commerce,Masters,18-24,4,1,42,Remote,Tier2_City,3,3,3,4,3,3,4,42.33,Tech,3,3,1,5,4,0,4,4,4,4,0,0,5,1,58.14
Medicine,Biologist,3.134608878060907,6,2,0,1,6,1,0,0,1,1,1,4,0,1,Science,PhD,25-30,1,0,0,Remote,Tier2_City,1,1,3,1,3,2,3,30.42,Education,5,1,2,5,4,5,5,4,4,3,1,1,4,3,46.56
Chemistry,Civil Engineer,4.180739861469525,7,2,2,1,5,1,0,1,4,3,0,0,0,1,Science,High School,25-30,11,1,55,Flexible,Tier2_City,1,1,2,3,4,4,5,11.76,Tech,5,3,3,5,1,2,2,5,4,4,0,1,2,4,58.13
Education,Teacher,4.532948504459229,6,0,1,0,5,0,0,3,3,0,4,4,2,1,Arts,Bachelors,36-40,13,0,0,Office,Tier3_City,4,1,0,5,4,4,1,48.33,Healthcare,2,2,5,2,2,2,3,4,4,4,1,0,3,4,63.21
Music,Credit Analyst,2.8285399539002074,3,1,1,1,5,1,4,2,4,2,3,3,0,0,Arts,Masters,18-24,14,0,0,Remote,Tier2_City,1,5,1,5,2,5,3,7.45,Healthcare,5,2,3,4,2,2,3,3,5,3,0,0,3,5,75.75
Chemistry,Physical Chemist,3.5728211957400684,9,1,2,0,0,1,4,0,2,4,3,0,3,1,Science,Bachelors,36-40,1,0,0,Remote,Any,1,5,5,4,2,1,3,39.14,Education,2,1,3,5,4,3,3,1,1,3,1,0,5,3,46.43
Chemistry,Electrical Engineer,4.7152584810996,6,1,4,0,6,1,2,1,3,4,2,2,4,1,Science,Masters,25-30,12,0,0,Office,Tier2_City,2,2,0,1,2,4,5,7.07,Other,5,5,5,3,5,1,3,2,2,4,1,1,5,1,64.94
Education,Manager,4.236665996802458,7,1,1,0,4,1,2,2,4,0,3,4,4,0,Arts,Masters,18-24,11,0,0,Office,Tier2_City,1,1,0,1,5,5,2,9.74,Healthcare,2,4,5,2,0,4,2,3,1,2,0,0,5,4,63.38
Medicine,Legal Analyst,4.337284910443251,9,2,4,1,6,1,3,2,2,2,4,4,1,0,Science,Masters,31-35,9,0,0,Office,Tier3_City,3,5,3,5,3,0,2,45.22,Finance,5,1,1,4,0,2,3,2,5,5,0,1,5,4,75.25
Architecture,Nurse,2.6163836982509707,3,1,4,1,8,1,3,0,1,0,2,2,4,0,Interdisciplinary,PhD,18-24,11,0,0,Remote,Tier3_City,2,3,5,2,4,1,5,38.39,Other,5,1,1,1,3,4,1,4,2,2,1,1,5,3,57.53
Finance,School Counselor,4.671246684638344,1,0,2,1,3,0,0,3,4,0,2,1,3,1,Commerce,PhD,25-30,7,0,0,Hybrid,Tier2_City,4,1,5,4,3,1,2,20.18,Healthcare,3,1,1,4,1,1,5,1,4,2,1,0,5,5,58.33
Architecture,Composer,4.980458333385295,3,0,0,0,5,1,2,3,3,0,1,3,2,0,Interdisciplinary,Masters,18-24,10,1,12,Hybrid,Tier1_City,4,3,1,4,2,2,5,33.02,Other,4,1,5,2,4,3,4,4,1,2,0,1,5,1,53.8
Architecture,Credit Analyst,4.802437837421181,7,1,3,0,8,0,3,3,2,3,2,2,3,1,Interdisciplinary,Bachelors,25-30,5,1,52,Flexible,Tier1_City,1,4,4,5,4,3,2,24.49,Manufacturing,4,2,4,3,5,4,2,1,2,4,1,1,5,3,55.53
Finance,Mechanical Engineer,3.584460411402537,1,0,3,0,8,1,3,0,1,2,0,3,3,1,Commerce,Masters,31-35,7,0,0,Remote,Tier1_City,5,2,5,5,1,2,5,6.13,Healthcare,2,1,1,2,0,5,3,2,1,2,1,0,5,3,43.6
Marketing,Financial Advisor,4.103633020666261,6,2,1,0,9,1,1,1,4,3,1,3,4,0,Commerce,High School,25-30,2,1,13,Hybrid,Tier1_City,4,4,5,2,0,0,2,36.89,Other,1,5,2,5,0,5,3,2,5,4,0,0,5,1,50.37
Marketing,Principal,3.888763350991572,2,0,0,0,3,0,3,4,3,4,4,3,1,1,Commerce,Bachelors,25-30,0,0,0,Remote,Tier2_City,4,2,3,2,0,5,3,38.87,Finance,3,4,4,2,2,2,3,2,2,5,0,1,4,1,53.44
Chemistry,Risk Analyst,4.562762421858157,0,0,2,0,4,1,2,3,0,2,1,2,1,1,Science,Masters,25-30,12,1,39,Hybrid,Tier3_City,4,1,5,1,2,1,3,44.47,Education,5,4,1,1,3,4,5,5,4,1,0,0,2,2,55.01
Art,Special Education Teacher,2.870928021157151,1,2,1,1,6,0,0,3,3,1,4,3,1,0,Arts,Bachelors,18-24,5,0,0,Remote,Tier2_City,3,2,0,4,3,1,2,28.41,Healthcare,3,5,2,1,4,0,2,4,3,4,0,1,5,3,55.89
Education,Art Director,4.451816400755432,2,1,4,0,5,0,2,0,0,2,0,3,3,0,Arts,Bachelors,25-30,1,0,0,Office,Tier1_City,5,5,0,4,1,4,5,34.64,Finance,1,1,5,5,3,1,1,5,4,4,0,1,3,5,42.8
Art,Financial Advisor,4.329234351551107,4,0,2,0,0,1,1,1,2,4,4,1,4,1,Arts,Bachelors,40+,11,0,0,Remote,Tier1_City,1,3,4,5,4,3,3,23.59,Manufacturing,3,4,2,5,0,0,4,3,3,2,1,1,3,1,63.16
Art,Biochemist,2.866915838588147,5,2,1,1,5,0,2,3,4,3,1,2,2,0,Arts,Masters,36-40,14,0,0,Hybrid,Tier2_City,1,5,0,1,3,3,1,17.99,Tech,1,2,1,1,3,5,1,5,4,2,1,1,2,5,62.14
Biology,Microbiologist,4.651639089082616,7,2,4,0,5,0,2,1,3,0,1,3,2,1,Science,Bachelors,18-24,8,0,0,Hybrid,Tier3_City,2,1,2,4,2,4,2,22.35,Tech,1,4,3,3,0,1,1,2,5,3,0,0,3,2,57.11
Marketing,Financial Advisor,2.521394701975208,3,0,0,0,1,1,1,2,4,1,4,1,2,0,Commerce,Masters,18-24,4,0,0,Flexible,Any,3,4,4,1,3,0,1,45.85,Education,1,5,3,2,5,5,3,1,2,4,1,0,5,1,53.93
Architecture,Digital Marketing Specialist,3.664816995148291,1,2,3,0,6,0,3,1,0,1,4,2,1,0,Interdisciplinary,Bachelors,36-40,4,0,0,Office,Any,5,3,5,1,2,3,1,10.72,Education,1,4,2,1,2,1,2,4,1,4,1,0,5,2,45.0
Chemistry,Biologist,2.9907541501778496,6,0,3,1,3,0,3,3,2,3,3,0,0,1,Science,Masters,25-30,12,0,0,Remote,Any,2,1,0,5,5,1,4,14.68,Tech,1,5,5,5,5,3,3,4,4,4,1,0,5,1,72.42
Engineering,Judge,3.5497086950645853,7,1,1,0,7,1,4,2,3,1,0,2,3,1,Science,Masters,25-30,9,1,42,Remote,Tier2_City,5,5,3,1,0,0,1,31.49,Tech,5,1,4,5,1,1,4,4,3,1,0,1,2,5,56.27
Physics,Surgeon,4.678392536759714,5,0,2,0,8,0,3,4,3,3,3,0,3,0,Science,Bachelors,31-35,7,0,0,Hybrid,Tier3_City,4,5,3,2,0,2,1,8.47,Education,3,4,3,3,4,1,2,3,2,3,1,1,2,3,52.43
Computer Science,School Psychologist,3.942276042137017,5,2,2,1,2,0,4,2,2,0,2,0,2,0,Science,Bachelors,25-30,5,1,14,Hybrid,Tier1_City,5,2,2,2,3,2,4,44.92,Tech,4,5,4,4,1,2,1,4,1,2,1,0,4,5,43.91
Engineering,Animator,3.151565318023195,9,1,1,1,2,1,0,0,3,3,0,2,1,1,Science,Bachelors,25-30,2,0,0,Remote,Tier1_City,2,2,4,3,1,0,4,5.22,Healthcare,4,2,5,5,3,0,3,3,3,3,0,1,5,3,38.44
Architecture,Principal,3.5287776772127413,5,1,0,1,3,1,2,2,2,4,2,3,0,1,Interdisciplinary,PhD,40+,8,0,0,Office,Tier1_City,3,4,4,5,4,1,4,38.5,Other,5,2,3,3,0,4,1,2,3,1,1,1,1,2,63.16
Law,Financial Controller,4.93986165433601,2,0,0,1,6,0,4,3,3,4,3,3,2,0,Arts,Masters,31-35,9,0,0,Remote,Tier1_City,3,2,0,3,2,2,5,20.57,Finance,2,3,5,1,1,3,4,1,2,1,0,1,3,3,64.64
Education,Principal,3.162405681512791,8,1,1,1,3,1,2,3,4,3,1,2,2,0,Arts,PhD,18-24,3,1,7,Flexible,Tier1_City,4,2,0,2,4,5,4,5.4,Other,1,4,1,4,2,1,5,2,5,2,0,1,4,3,61.88
Music,Surgeon,4.629393516839956,1,0,2,1,6,1,1,0,3,1,0,3,4,1,Arts,Bachelors,18-24,9,0,0,Remote,Any,1,2,1,3,0,1,5,42.62,Education,3,1,4,1,5,2,4,5,5,4,1,0,5,4,53.48
Law,Judge,3.646480687937143,9,1,4,0,1,1,0,0,0,1,4,1,3,1,Arts,Masters,18-24,3,0,0,Remote,Tier2_City,2,4,5,5,1,4,2,33.1,Finance,1,3,1,3,3,1,2,4,5,4,0,0,3,2,48.79
Education,Art Therapist,4.216716119136947,5,2,4,1,3,1,2,4,1,3,3,1,1,1,Arts,Masters,31-35,11,0,0,Hybrid,Tier3_City,1,1,2,5,1,3,5,3.42,Manufacturing,1,4,5,1,3,3,5,5,2,2,1,0,1,3,58.42
Business,Artist,4.828856659653555,9,2,0,1,9,0,0,3,1,4,2,4,4,0,Commerce,Masters,25-30,12,0,0,Hybrid,Any,4,3,4,1,4,0,2,15.57,Manufacturing,4,2,5,2,1,0,1,3,3,2,0,1,1,3,58.53
Psychology,Physical Chemist,4.071719906605911,9,2,1,1,1,0,3,3,0,3,2,3,4,1,Arts,PhD,18-24,1,0,0,Remote,Any,5,1,0,4,0,3,4,19.55,Healthcare,1,1,2,3,3,5,5,2,2,2,1,1,5,2,44.11
Finance,Software Developer,3.941197814846341,3,2,3,1,5,1,2,4,4,0,3,3,0,1,Commerce,Bachelors,36-40,2,0,0,Office,Any,5,1,5,1,4,4,4,18.16,Manufacturing,3,2,2,4,4,4,3,4,5,4,0,1,5,1,61.07
Law,Urban Planner,3.066976178482305,1,1,1,1,4,0,2,3,0,0,2,3,2,1,Arts,Bachelors,18-24,3,1,25,Hybrid,Tier3_City,4,1,4,5,3,2,2,26.42,Education,3,4,3,5,1,2,1,3,4,5,1,1,5,3,49.48
Education,Musician,4.096106357769229,7,0,0,1,1,0,2,2,2,0,1,0,2,1,Arts,Masters,18-24,6,1,14,Remote,Tier2_City,3,5,5,2,1,5,3,27.76,Healthcare,4,1,1,1,1,3,5,2,2,2,0,0,3,5,40.56
Law,Geneticist,4.774854137171819,9,2,1,0,2,0,2,3,2,2,0,0,0,0,Arts,Masters,18-24,12,1,28,Flexible,Tier2_City,2,3,2,2,1,1,5,21.65,Other,5,1,1,3,5,3,4,2,4,1,1,0,3,5,55.58
Physics,School Counselor,4.513866732721659,4,0,4,1,5,1,4,2,1,1,3,4,0,1,Science,Masters,18-24,2,0,0,Flexible,Tier3_City,4,3,3,1,3,1,1,18.59,Healthcare,4,3,5,1,2,1,5,3,5,4,0,1,4,4,56.88
Computer Science,Judge,4.005274251234962,4,0,3,1,2,0,0,4,3,0,1,4,1,1,Science,Bachelors,25-30,7,0,0,Hybrid,Any,4,5,2,5,0,4,4,26.71,Education,4,1,2,3,3,2,2,1,2,3,0,0,2,1,46.27
Law,Pharmacist,2.6335164814373164,3,2,4,0,7,0,2,4,1,3,4,0,2,1,Arts,Bachelors,36-40,7,0,0,Office,Any,2,5,4,2,1,0,5,4.58,Tech,1,4,4,3,2,4,1,2,2,2,1,0,1,2,50.92
Law,Ecologist,2.901716950258053,2,0,4,1,8,0,2,3,4,4,2,4,2,0,Arts,Bachelors,36-40,9,1,53,Remote,Tier3_City,3,2,0,5,5,3,5,33.32,Finance,2,5,5,4,3,5,5,4,4,2,0,0,5,2,71.99
Medicine,Microbiologist,2.5000928640688933,2,0,2,0,0,1,4,0,3,3,0,1,2,1,Science,Bachelors,25-30,10,0,0,Remote,Tier2_City,3,5,4,2,5,5,4,31.48,Education,5,5,1,1,1,3,1,5,1,3,1,1,2,1,50.79
Art,Digital Marketing Specialist,2.899680796511931,5,0,0,1,3,1,1,1,1,2,2,2,3,1,Arts,Masters,25-30,1,0,0,Hybrid,Any,2,4,1,5,5,2,2,16.12,Tech,5,1,1,1,3,4,4,3,4,3,1,1,1,4,48.43
Biology,Risk Analyst,3.1528017711873986,6,0,2,1,6,1,0,2,2,4,0,4,1,1,Science,Masters,25-30,3,1,47,Flexible,Any,1,5,5,3,2,0,4,11.44,Tech,5,5,5,3,2,0,2,1,5,1,1,1,2,2,49.41
Computer Science,Biochemist,4.663622513807585,5,2,3,0,7,0,1,2,4,4,1,3,2,0,Science,Bachelors,18-24,7,0,0,Hybrid,Tier2_City,5,2,2,5,2,5,5,6.43,Manufacturing,1,4,5,2,1,1,1,2,4,4,1,0,2,1,60.8
Law,Pharmacist,3.1470851764347274,5,1,0,1,2,1,0,3,4,4,0,4,3,1,Arts,Bachelors,18-24,0,0,0,Remote,Tier2_City,2,5,1,5,0,5,3,30.61,Other,4,3,5,5,5,4,2,5,1,4,0,0,2,3,40.98
Education,Judge,3.376175903542236,2,1,2,0,2,0,3,4,0,4,4,1,4,1,Arts,Bachelors,36-40,0,0,0,Hybrid,Tier3_City,3,4,4,1,3,4,2,29.74,Healthcare,1,2,1,5,3,3,4,1,5,4,0,0,3,3,57.01
Physics,Physical Chemist,4.019622710324295,7,1,2,1,1,1,2,0,0,3,0,4,0,1,Science,Bachelors,18-24,13,0,0,Remote,Tier2_City,1,5,4,3,4,4,4,28.07,Healthcare,3,2,4,2,2,3,1,3,2,1,0,0,4,1,44.51
Chemistry,Industrial-Organizational Psychologist,3.7815890890004,3,1,2,0,0,0,0,0,3,1,2,4,1,1,Science,Masters,18-24,13,1,16,Remote,Tier3_City,4,1,5,4,0,1,1,49.32,Manufacturing,2,4,1,4,5,3,4,2,2,1,1,1,3,5,50.75
Engineering,Legal Consultant,2.981561337797292,7,0,4,1,3,1,4,2,2,4,2,1,2,1,Science,PhD,25-30,3,0,0,Hybrid,Tier1_City,4,3,1,1,4,2,4,27.98,Manufacturing,2,3,5,2,3,3,4,2,1,5,1,1,2,5,59.14
Engineering,Analytical Chemist,4.393326903092733,9,1,4,1,2,0,0,4,1,3,3,3,2,0,Science,Bachelors,25-30,10,0,0,Hybrid,Tier2_City,4,4,0,4,0,0,5,36.92,Healthcare,1,4,2,2,5,2,2,3,5,2,1,0,3,2,59.18
Art,Biologist,3.384191635045785,6,1,1,1,4,0,1,3,0,0,2,0,2,0,Arts,Masters,18-24,1,0,0,Remote,Tier2_City,5,4,0,2,2,1,5,8.31,Education,4,1,4,4,2,5,4,5,5,3,1,1,5,4,42.71
Engineering,Conductor,4.819270072853842,9,2,0,0,8,1,1,1,3,1,3,1,0,1,Science,Masters,18-24,0,0,0,Remote,Tier2_City,3,4,2,4,5,2,1,17.05,Education,5,3,3,3,4,1,4,5,2,3,0,1,5,2,42.11
Psychology,Advertising Manager,3.745487067801172,1,1,1,1,0,1,4,0,2,0,3,3,4,0,Arts,Masters,25-30,7,0,0,Hybrid,Tier1_City,1,1,5,5,3,3,2,15.95,Education,3,5,1,1,2,2,5,4,4,3,1,0,5,1,61.17
Business,Mechanical Engineer,3.5195758240708224,9,0,1,1,9,1,3,0,4,4,2,0,3,0,Commerce,Bachelors,31-35,1,0,0,Office,Tier1_City,3,1,1,4,2,3,5,30.07,Education,3,1,4,5,0,5,1,2,4,1,0,0,5,5,43.87
Finance,Digital Marketing Specialist,2.979327882833394,8,1,2,1,6,1,4,2,1,1,1,2,4,0,Commerce,PhD,18-24,3,0,0,Hybrid,Any,5,3,2,1,3,1,2,18.55,Manufacturing,2,5,4,5,3,5,4,3,5,2,1,1,2,4,57.05
Biology,Manager,4.662629277540425,3,2,4,0,5,1,0,3,4,0,3,0,3,1,Science,Bachelors,25-30,2,0,0,Office,Tier1_City,5,2,2,1,4,0,2,33.13,Finance,4,1,5,5,0,2,3,2,1,1,1,0,1,4,39.04
Art,Architect,4.816718244883329,9,0,4,1,0,0,3,1,3,4,1,1,1,0,Arts,Bachelors,25-30,14,1,40,Remote,Tier1_City,2,3,3,4,0,2,4,35.43,Finance,5,1,4,2,4,1,3,4,1,5,1,0,4,2,57.99
Business,Illustrator,3.6686201563085614,3,0,3,1,5,1,3,2,0,2,2,0,3,1,Commerce,Bachelors,36-40,1,0,0,Remote,Tier3_City,3,4,5,1,1,3,2,4.58,Healthcare,2,1,1,3,2,5,5,4,2,3,1,0,1,4,33.91
Education,Biomedical Engineer,3.0749735684145083,8,0,4,1,1,0,1,1,0,1,3,0,1,1,Arts,Bachelors,25-30,7,1,6,Office,Tier2_City,4,4,2,1,1,3,5,33.07,Finance,4,1,2,3,5,3,4,1,3,4,1,0,4,3,46.23
Biology,Inorganic Chemist,4.699926162970849,9,2,4,1,5,0,3,2,0,4,2,2,0,1,Science,Bachelors,18-24,2,0,0,Hybrid,Tier3_City,2,4,5,4,3,0,5,8.49,Education,5,3,4,2,1,0,5,2,1,2,0,0,1,3,39.42
Architecture,Biochemist,3.206684199053834,6,1,1,0,2,1,4,4,0,1,1,0,2,1,Interdisciplinary,Bachelors,25-30,14,0,0,Hybrid,Tier2_City,3,3,5,3,5,1,3,24.86,Manufacturing,1,3,1,4,1,2,3,3,3,5,0,0,5,3,63.81
Art,Construction Manager,2.843779529917348,4,2,2,0,5,0,0,4,0,2,4,1,2,0,Arts,Bachelors,31-35,8,1,32,Flexible,Tier3_City,2,2,2,3,5,4,2,37.15,Education,4,1,5,4,5,4,1,1,4,4,0,0,5,1,62.14
Biology,Game Developer,2.8984749679042325,4,0,2,1,8,0,2,2,0,1,1,1,4,1,Science,Masters,18-24,9,0,0,Hybrid,Tier2_City,2,2,3,2,3,5,3,36.06,Tech,3,4,4,3,2,5,4,3,2,4,1,0,3,1,51.02
Biology,Financial Advisor,4.125066056495795,3,2,4,1,5,0,4,2,2,3,0,1,0,0,Science,Masters,25-30,4,0,0,Remote,Any,1,3,2,1,2,2,4,17.09,Manufacturing,4,1,3,2,4,2,5,4,4,2,1,1,3,5,51.43
Chemistry,Chemist,3.806274959590702,7,2,0,1,7,1,4,4,4,4,2,0,3,1,Science,Bachelors,18-24,8,0,0,Flexible,Tier1_City,2,4,2,4,1,3,3,15.8,Tech,4,1,3,5,5,1,1,5,1,3,1,1,2,3,60.31
Finance,Market Research Analyst,3.212152647959437,0,1,2,0,1,0,0,4,2,2,0,2,0,0,Commerce,Masters,18-24,2,0,0,Remote,Tier1_City,5,3,5,1,2,5,2,23.69,Tech,4,4,2,1,2,2,5,5,4,2,1,0,4,4,43.05
Marketing,Microbiologist,4.993699639207092,4,2,3,0,4,1,3,2,4,2,3,1,3,1,Commerce,Masters,25-30,11,0,0,Office,Any,4,3,2,5,4,5,5,11.87,Healthcare,5,4,5,3,5,4,1,3,5,4,0,1,4,4,76.3
Finance,Clinical Psychologist,3.614915345133013,9,2,2,1,5,1,0,1,0,1,4,2,2,0,Commerce,Masters,25-30,4,0,0,Hybrid,Tier3_City,1,5,1,1,1,4,4,48.81,Tech,5,1,1,5,1,2,1,3,4,4,1,1,2,3,49.69
Business,Teacher,3.622680126989234,0,0,0,0,4,1,4,4,1,3,3,0,1,1,Commerce,Bachelors,36-40,13,0,0,Hybrid,Tier3_City,2,5,3,1,4,5,2,19.21,Finance,1,2,4,3,1,0,5,5,3,2,1,1,5,2,60.38
Physics,Music Teacher,4.868672570197967,0,2,3,0,8,0,1,0,4,0,3,0,4,0,Science,Masters,31-35,9,0,0,Hybrid,Tier1_City,1,1,0,3,0,0,4,46.38,Finance,1,2,1,1,1,2,3,1,3,3,1,0,3,4,52.39
Education,Biotechnologist,4.28654945860831,7,2,0,0,8,1,0,2,1,1,3,3,4,1,Arts,PhD,25-30,5,1,35,Hybrid,Tier2_City,4,1,2,4,2,1,1,45.69,Tech,5,4,3,4,2,4,5,5,4,4,0,1,2,3,58.7
Business,Graphic Designer,4.47538827829492,2,0,2,0,3,0,3,1,2,0,1,3,4,1,Commerce,Masters,25-30,8,0,0,Office,Tier1_City,4,3,1,1,3,2,2,20.15,Healthcare,5,1,5,3,4,5,2,4,1,2,1,0,5,2,50.86
Architecture,Biologist,4.360966024327043,9,0,4,0,8,1,0,4,0,1,0,0,3,0,Interdisciplinary,Bachelors,25-30,7,0,0,Flexible,Tier1_City,1,5,1,3,1,0,1,14.94,Tech,2,5,1,2,4,3,4,2,3,4,1,0,1,1,42.91
Physics,Conductor,4.865785496908755,2,0,3,1,4,1,0,0,4,4,3,1,2,1,Science,Bachelors,18-24,1,0,0,Remote,Tier2_City,3,4,1,2,2,1,3,39.23,Manufacturing,4,5,4,4,4,0,3,3,2,1,1,0,2,4,38.15
Law,Geneticist,3.368751254782679,3,1,1,0,5,0,3,4,2,3,2,2,3,0,Arts,Masters,36-40,1,0,0,Office,Any,4,1,3,3,3,0,2,13.78,Manufacturing,4,1,5,4,5,5,3,1,5,1,1,1,2,1,53.57
Biology,Financial Analyst,2.673967308091973,1,1,0,1,5,0,0,3,1,2,3,4,4,1,Science,Bachelors,40+,12,0,0,Remote,Tier1_City,5,4,3,3,0,3,1,27.5,Manufacturing,3,1,4,5,1,3,5,4,1,3,0,1,5,2,52.9
Physics,Physicist,3.4593843286246466,7,1,0,1,6,1,3,2,4,4,2,3,0,1,Science,Bachelors,18-24,4,0,0,Remote,Tier1_City,5,4,4,3,1,3,5,8.2,Manufacturing,5,1,4,2,3,2,4,2,2,2,0,1,1,5,47.9
Engineering,Software Developer,4.328733411311719,6,0,2,0,8,0,4,1,1,1,2,4,3,0,Science,Bachelors,18-24,4,0,0,Flexible,Tier1_City,2,1,2,1,4,4,3,21.14,Tech,5,5,5,3,5,4,2,1,1,4,0,0,3,5,51.58
Finance,Cybersecurity Analyst,3.550561883531361,8,1,1,1,9,1,4,1,2,2,3,4,3,0,Commerce,Masters,18-24,4,1,12,Hybrid,Tier3_City,3,3,0,1,0,0,2,6.67,Education,1,5,5,3,2,5,5,3,3,2,0,0,2,3,53.33
Art,Construction Manager,4.646658362494131,6,1,2,1,1,0,1,4,3,3,2,0,3,1,Arts,Masters,31-35,3,1,49,Remote,Tier2_City,3,5,0,2,5,5,2,16.32,Education,1,4,4,2,1,1,4,1,1,4,1,0,2,2,51.0
Education,School Counselor,3.7860561784491296,0,2,1,1,7,0,1,2,2,0,1,2,4,0,Arts,Bachelors,31-35,7,0,0,Hybrid,Tier1_City,2,1,4,5,3,3,5,34.27,Other,4,3,3,4,4,0,5,4,2,5,0,1,2,3,52.38
Music,Financial Analyst,3.112402614755199,6,2,3,0,8,1,0,2,2,2,1,0,4,0,Arts,PhD,36-40,10,1,59,Remote,Tier3_City,4,2,0,5,1,1,5,49.59,Manufacturing,4,4,4,3,2,5,4,5,1,1,0,0,3,2,46.23
Marketing,Market Research Analyst,4.701386226971325,2,0,1,1,6,0,2,1,4,3,2,1,2,0,Commerce,Bachelors,31-35,4,1,56,Hybrid,Tier1_City,1,2,2,5,1,4,1,14.98,Other,5,4,5,3,5,4,3,3,3,2,0,1,3,5,44.98
Medicine,Illustrator,3.088255265209262,1,0,0,0,3,1,1,1,3,2,1,4,3,0,Science,Masters,25-30,0,0,0,Hybrid,Tier1_City,3,4,0,2,0,5,1,25.25,Other,4,2,2,3,4,5,5,2,4,3,0,0,1,2,47.79
Chemistry,Fluid Mechanics Engineer,4.977363732036034,2,0,2,0,9,1,4,4,0,1,2,1,0,0,Science,Masters,31-35,9,1,53,Flexible,Tier1_City,3,2,2,5,1,2,1,24.06,Healthcare,5,4,1,1,0,1,2,3,2,3,0,1,1,4,56.8
Art,AI Researcher,4.254055639556566,1,1,2,1,8,1,2,3,1,0,3,3,2,1,Arts,Masters,31-35,13,0,0,Remote,Tier1_City,4,4,3,5,3,0,4,11.66,Healthcare,3,4,4,2,1,0,4,4,4,4,1,0,4,5,66.52
Physics,Cybersecurity Analyst,4.385819063094695,3,2,1,0,4,0,1,0,0,1,0,1,0,0,Science,PhD,25-30,4,0,0,Remote,Tier1_City,1,5,3,3,0,3,3,31.67,Tech,3,4,1,1,4,0,2,2,3,1,0,0,4,2,32.07
Music,Financial Controller,2.927425595230162,9,0,3,1,5,1,4,0,4,0,0,3,0,1,Arts,Bachelors,25-30,0,0,0,Remote,Tier1_City,5,1,2,1,4,5,2,37.06,Education,2,4,4,1,0,2,2,4,2,5,0,1,3,2,45.55
Finance,Physician Assistant,2.8550817946794025,9,2,3,0,2,1,4,0,3,3,4,0,4,0,Commerce,Masters,31-35,3,1,45,Remote,Tier2_City,3,1,5,1,0,1,3,9.92,Tech,1,3,4,5,4,1,5,3,4,4,0,1,2,5,61.44
